observed_packet_detection_rate,drop_rate,total_detected,total_attacks,final_buffer_utilization,final_throughput,p,lambda,rep
0.452,0.0,226,10,0.0,0.0,0.45,0.5,29
0.4490909090909091,0.0,247,11,0.0,0.0,0.45,1.0,0
0.472,0.0,236,10,0.0,0.0,0.45,1.0,1
0.41714285714285715,0.0,146,7,0.0,0.0,0.45,1.0,2
0.432,0.0,324,15,0.0,0.0,0.45,1.0,3
0.44461538461538463,0.0,289,13,0.0,0.0,0.45,1.0,4
0.4675,0.0,187,8,0.0,0.0,0.45,1.0,5
0.44461538461538463,0.0,289,13,0.0,0.0,0.45,1.0,6
0.4876923076923077,0.0,317,13,0.0,0.0,0.45,1.0,7
0.4685714285714286,0.0,164,7,0.0,0.0,0.45,1.0,8
0.4471428571428571,0.0,313,14,0.0,0.0,0.45,1.0,9
0.4757142857142857,0.0,333,14,0.0,0.0,0.45,1.0,10
0.452,0.0,339,15,0.0,0.0,0.45,1.0,11
0.4425,0.0,177,8,0.0,0.0,0.45,1.0,12
0.442,0.0,221,10,0.0,0.0,0.45,1.0,13
0.415,0.0,249,12,0.0,0.0,0.45,1.0,14
0.486,0.0,243,10,0.0,0.0,0.45,1.0,15
0.508,0.0,254,10,0.0,0.0,0.45,1.0,16
0.44666666666666666,0.0,201,9,0.0,0.0,0.45,1.0,17
0.452,0.0,226,10,0.0,0.0,0.45,1.0,18
0.46,0.0,253,11,0.0,0.0,0.45,1.0,19
0.44,0.0,176,8,0.0,0.0,0.45,1.0,20
0.47714285714285715,0.0,167,7,0.0,0.0,0.45,1.0,21
0.472,0.0,118,5,0.0,0.0,0.45,1.0,22
0.47333333333333333,0.0,213,9,0.0,0.0,0.45,1.0,23
0.45692307692307693,0.0,297,13,0.0,0.0,0.45,1.0,24
0.4533333333333333,0.0,136,6,0.0,0.0,0.45,1.0,25
0.43333333333333335,0.0,130,6,0.0,0.0,0.45,1.0,26
0.4688888888888889,0.0,211,9,0.0,0.0,0.45,1.0,27
0.4575,0.0,183,8,0.0,0.0,0.45,1.0,28
0.44,0.0,264,12,0.0,0.0,0.45,1.0,29
0.66,0.0,33,1,0.0,0.0,0.55,0.1,0
0.62,0.0,31,1,0.0,0.0,0.55,0.1,1
0.0,0.0,0,0,0.0,0.0,0.55,0.1,2
0.56,0.0,28,1,0.0,0.0,0.55,0.1,3
0.63,0.0,63,2,0.0,0.0,0.55,0.1,4
0.57,0.0,57,2,0.0,0.0,0.55,0.1,5
0.0,0.0,0,0,0.0,0.0,0.55,0.1,6
0.0,0.0,0,0,0.0,0.0,0.55,0.1,7
0.68,0.0,34,1,0.0,0.0,0.55,0.1,8
0.0,0.0,0,0,0.0,0.0,0.55,0.1,9
